epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,49927.2,1.15358,0.56585,0.83657,0.92825,0.83884,0.89482,0.61423,1.08248,0.50276,0.82176,0.0083962,0.0083962,0.0083962
164,50246.9,1.15454,0.5663,0.83673,0.9279,0.83906,0.89483,0.61425,1.08217,0.50271,0.82167,0.0083863,0.0083863,0.0083863
165,50566,1.15357,0.56582,0.83649,0.92831,0.83903,0.89516,0.61411,1.08181,0.50244,0.82169,0.0083764,0.0083764,0.0083764
166,50880.1,1.15356,0.56554,0.83663,0.92876,0.83914,0.89522,0.61395,1.08172,0.50238,0.82167,0.0083665,0.0083665,0.0083665
167,51196.5,1.15698,0.56701,0.83652,0.92851,0.83939,0.89518,0.61423,1.08116,0.50226,0.82166,0.0083566,0.0083566,0.0083566
168,51503.6,1.15255,0.56441,0.83601,0.92848,0.83984,0.89517,0.61407,1.08078,0.50201,0.82161,0.0083467,0.0083467,0.0083467
169,51810.7,1.15872,0.56708,0.83679,0.92939,0.83973,0.89524,0.61403,1.08044,0.5016,0.82159,0.0083368,0.0083368,0.0083368
170,52121.1,1.15092,0.56462,0.83634,0.92954,0.83913,0.89522,0.61408,1.08031,0.50158,0.82158,0.0083269,0.0083269,0.0083269
171,52426,1.15271,0.56522,0.83706,0.92988,0.83885,0.89525,0.61404,1.0802,0.50156,0.82152,0.008317,0.008317,0.008317
172,52734.5,1.1493,0.56357,0.83591,0.92872,0.84009,0.89523,0.61437,1.08014,0.50154,0.82153,0.0083071,0.0083071,0.0083071
173,53039.1,1.15065,0.56374,0.83632,0.9286,0.84042,0.89547,0.61483,1.07992,0.50148,0.8215,0.0082972,0.0082972,0.0082972
174,53343.8,1.15019,0.56512,0.83649,0.92892,0.84044,0.89577,0.61474,1.07988,0.50136,0.82148,0.0082873,0.0082873,0.0082873
175,53649.3,1.14798,0.56317,0.83584,0.93001,0.83988,0.89594,0.61479,1.07943,0.5012,0.82142,0.0082774,0.0082774,0.0082774
176,53955.8,1.15298,0.5647,0.83619,0.93089,0.83912,0.89597,0.61506,1.07918,0.50124,0.82137,0.0082675,0.0082675,0.0082675
177,54256.2,1.14962,0.56319,0.83592,0.93108,0.83943,0.89607,0.61483,1.07896,0.501,0.8213,0.0082576,0.0082576,0.0082576
178,54548.5,1.14923,0.56271,0.83573,0.93143,0.83988,0.89619,0.6151,1.07856,0.50068,0.82132,0.0082477,0.0082477,0.0082477
